"","MET","TIME","SAMPLE","QT"
"238","valine",72,1,0.367
"239","valine",72,2,0.418
"240","valine",72,3,0.431
"241","tryptophan",0.5,1,1.33
"242","tryptophan",0.5,2,1.36
"243","tryptophan",0.5,3,1.26
"244","tryptophan",1,1,2.14
"245","tryptophan",1,2,2.24
"246","tryptophan",1,3,2.22
"247","tryptophan",2,1,2.26
"248","tryptophan",2,2,2.22
"249","tryptophan",2,3,2.22
"250","tryptophan",4,1,1.13
"251","tryptophan",4,2,1.13
"252","tryptophan",4,3,1.11
"253","tryptophan",12,1,1.02
"254","tryptophan",12,2,0.985
"255","tryptophan",12,3,0.985
"256","tryptophan",24,1,0.391
"257","tryptophan",24,2,0.392
"258","tryptophan",24,3,0.389
"259","tryptophan",48,1,0.406
"260","tryptophan",48,2,0.423
"261","tryptophan",48,3,0.43
"262","tryptophan",72,1,0.272
"263","tryptophan",72,2,0.219
"264","tryptophan",72,3,0.206
"265","isoleucine",0.5,1,1.03
"266","isoleucine",0.5,2,1.03
"267","isoleucine",0.5,3,1.09
"268","isoleucine",1,1,1.22
"269","isoleucine",1,2,1.14
"270","isoleucine",1,3,1.21
"271","isoleucine",2,1,1.34
"272","isoleucine",2,2,1.31
"273","isoleucine",2,3,1.22
"274","isoleucine",4,1,1.05
"275","isoleucine",4,2,1.12
"276","isoleucine",4,3,1.11
"277","isoleucine",12,1,0.909
"278","isoleucine",12,2,0.906
"279","isoleucine",12,3,0.901
"280","isoleucine",24,1,0.861
"281","isoleucine",24,2,0.971
"282","isoleucine",24,3,0.925
"283","isoleucine",48,1,1.01
"284","isoleucine",48,2,1.02
"285","isoleucine",48,3,1.07
"286","isoleucine",72,1,0.206
"287","isoleucine",72,2,0.167
"288","isoleucine",72,3,0.161
"289","leucine",0.5,1,1.1
"290","leucine",0.5,2,1.12
"291","leucine",0.5,3,1.11
"292","leucine",1,1,1.11
"293","leucine",1,2,1.15
"294","leucine",1,3,1.14
"295","leucine",2,1,1.27
"296","leucine",2,2,1.46
"297","leucine",2,3,1.25
"298","leucine",4,1,1.2
"299","leucine",4,2,1.2
"300","leucine",4,3,1.2
"301","leucine",12,1,0.914
"302","leucine",12,2,0.857
"303","leucine",12,3,0.906
"304","leucine",24,1,0.572
"305","leucine",24,2,0.592
"306","leucine",24,3,0.595
"307","leucine",48,1,0.699
"308","leucine",48,2,0.715
"309","leucine",48,3,0.745
"310","leucine",72,1,0.25
"311","leucine",72,2,0.232
"312","leucine",72,3,0.207
"313","phenylalanine",0.5,1,1.52
"314","phenylalanine",0.5,2,1.48
"315","phenylalanine",0.5,3,1.49
"316","phenylalanine",1,1,1.84
"317","phenylalanine",1,2,1.94
"318","phenylalanine",1,3,1.77
"319","phenylalanine",2,1,1.59
"320","phenylalanine",2,2,1.61
"321","phenylalanine",2,3,1.61
"322","phenylalanine",4,1,1.43
"323","phenylalanine",4,2,1.31
"324","phenylalanine",4,3,1.3
"325","phenylalanine",12,1,0.72
"326","phenylalanine",12,2,0.706
"327","phenylalanine",12,3,0.623
"328","phenylalanine",24,1,0.29
"329","phenylalanine",24,2,0.29
"330","phenylalanine",24,3,0.29
"331","phenylalanine",48,1,0.526
"332","phenylalanine",48,2,0.508
"333","phenylalanine",48,3,0.511
"334","phenylalanine",72,1,0.706
"335","phenylalanine",72,2,0.693
"336","phenylalanine",72,3,0.593
"337","pyruvate",0.5,1,1.16
"338","pyruvate",0.5,2,1.21
"339","pyruvate",0.5,3,1.17
"340","pyruvate",1,1,1.2
"341","pyruvate",1,2,1.33
"342","pyruvate",1,3,1.33
"343","pyruvate",2,1,0.86
"344","pyruvate",2,2,0.86
"345","pyruvate",2,3,0.86
"346","pyruvate",4,1,0.747
"347","pyruvate",4,2,0.769
"348","pyruvate",4,3,0.4
"349","pyruvate",12,1,0.436
"350","pyruvate",12,2,0.52
"351","pyruvate",12,3,0.488
"352","pyruvate",24,1,1.82
"353","pyruvate",24,2,1.89
"354","pyruvate",24,3,1.97
"355","pyruvate",48,1,3.58
"356","pyruvate",48,2,4.01
"357","pyruvate",48,3,3.41
"358","pyruvate",72,1,3.6
"359","pyruvate",72,2,3.67
"360","pyruvate",72,3,3.58
"361","lactate",0.5,1,0.87
"362","lactate",0.5,2,0.87
"363","lactate",0.5,3,0.87
"364","lactate",1,1,1.76
"365","lactate",1,2,1.07
"366","lactate",1,3,1.38
"367","lactate",2,1,1
"368","lactate",2,2,0.97
"369","lactate",2,3,0.971
"370","lactate",4,1,1
"371","lactate",4,2,0.253
"372","lactate",4,3,0.962
"373","lactate",12,1,1.41
"374","lactate",12,2,0.706
"375","lactate",12,3,1.02
"376","lactate",24,1,6.44
"377","lactate",24,2,5.89
"378","lactate",24,3,7.86
"379","lactate",48,1,4.43
"380","lactate",48,2,4.17
"381","lactate",48,3,2.7
"382","lactate",72,1,12.4
"383","lactate",72,2,12.5
"384","lactate",72,3,12.3
"385","phosphorate",0.5,1,1.3
"386","phosphorate",0.5,2,1.28
"387","phosphorate",0.5,3,1.31
"388","phosphorate",1,1,0.878
"389","phosphorate",1,2,0.919
"390","phosphorate",1,3,0.96
"391","phosphorate",2,1,0.946
"392","phosphorate",2,2,0.946
"393","phosphorate",2,3,0.952
"394","phosphorate",4,1,1.5
"395","phosphorate",4,2,1.25
"396","phosphorate",4,3,1.14
"397","phosphorate",12,1,1.06
"398","phosphorate",12,2,1.23
"399","phosphorate",12,3,1.14
"400","phosphorate",24,1,1.9
"401","phosphorate",24,2,1.97
"402","phosphorate",24,3,1.88
"403","phosphorate",48,1,0.772
"404","phosphorate",48,2,0.823
"405","phosphorate",48,3,0.871
"406","phosphorate",72,1,0.55
"407","phosphorate",72,2,0.55
"408","phosphorate",72,3,0.55
"409","n-butylamine",0.5,1,0.998
"410","n-butylamine",0.5,2,1.37
"411","n-butylamine",0.5,3,1.07
"412","n-butylamine",1,1,1
"413","n-butylamine",1,2,1.03
"414","n-butylamine",1,3,1.12
"415","n-butylamine",2,1,1.05
"416","n-butylamine",2,2,1.07
"417","n-butylamine",2,3,1.07
"418","n-butylamine",4,1,1.06
"419","n-butylamine",4,2,1.19
"420","n-butylamine",4,3,0.894
"421","n-butylamine",12,1,1.19
"422","n-butylamine",12,2,0.935
"423","n-butylamine",12,3,1.17
"424","n-butylamine",24,1,1.14
"425","n-butylamine",24,2,1.07
"426","n-butylamine",24,3,1.02
"427","n-butylamine",48,1,0.932
"428","n-butylamine",48,2,0.932
"429","n-butylamine",48,3,0.983
"430","n-butylamine",72,1,1.26
"431","n-butylamine",72,2,0.97
"432","n-butylamine",72,3,1.05
"433","ethanolamine",0.5,1,1.31
"434","ethanolamine",0.5,2,1.29
"435","ethanolamine",0.5,3,1.37
"436","ethanolamine",1,1,2.12
"437","ethanolamine",1,2,0.52
"438","ethanolamine",1,3,0.901
"439","ethanolamine",2,1,1.17
"440","ethanolamine",2,2,1.19
"441","ethanolamine",2,3,1.16
"442","ethanolamine",4,1,1.29
"443","ethanolamine",4,2,1.39
"444","ethanolamine",4,3,1.14
"445","ethanolamine",12,1,0.528
"446","ethanolamine",12,2,0.526
"447","ethanolamine",12,3,0.518
"448","ethanolamine",24,1,0.569
"449","ethanolamine",24,2,0.627
"450","ethanolamine",24,3,0.636
"451","ethanolamine",48,1,0.337
"452","ethanolamine",48,2,0.308
"453","ethanolamine",48,3,0.329
"454","ethanolamine",72,1,0.26
"455","ethanolamine",72,2,0.277
"456","ethanolamine",72,3,0.254
"457","glycerol",0.5,1,1.61
"458","glycerol",0.5,2,1.67
"459","glycerol",0.5,3,1.53
"460","glycerol",1,1,0.479
"461","glycerol",1,2,0.714
"462","glycerol",1,3,1.09
"463","glycerol",2,1,0.665
"464","glycerol",2,2,0.7
"465","glycerol",2,3,0.685
"466","glycerol",4,1,1.91
"467","glycerol",4,2,1.87
"468","glycerol",4,3,1.93
"469","glycerol",12,1,1.54
"470","glycerol",12,2,1.42
"471","glycerol",12,3,1.3
"472","glycerol",24,1,3.54
"473","glycerol",24,2,2.98
"474","glycerol",24,3,2.77
"475","glycerol",48,1,0.85
"476","glycerol",48,2,0.88
"477","glycerol",48,3,0.87
"478","glycerol",72,1,1.39
"479","glycerol",72,2,1.4
"480","glycerol",72,3,1.44
"481","succinate",0.5,1,0.746
"482","succinate",0.5,2,0.743
"483","succinate",0.5,3,0.768
"484","succinate",1,1,1.07
"485","succinate",1,2,1.21
"486","succinate",1,3,1.08
"487","succinate",2,1,0.77
"488","succinate",2,2,0.854
"489","succinate",2,3,0.785
"490","succinate",4,1,0.593
"491","succinate",4,2,0.549
"492","succinate",4,3,0.528
"493","succinate",12,1,0.294
"494","succinate",12,2,0.44
"495","succinate",12,3,0.376
"496","succinate",24,1,0.21
"497","succinate",24,2,0.21
"498","succinate",24,3,0.21
"499","succinate",48,1,0.783
"500","succinate",48,2,0.957
"501","succinate",48,3,0.857
"502","succinate",72,1,1.63
"503","succinate",72,2,1.6
"504","succinate",72,3,1.63
"505","glycerate",0.5,1,1.15
"506","glycerate",0.5,2,1.16
"507","glycerate",0.5,3,1.24
"508","glycerate",1,1,0.921
"509","glycerate",1,2,0.644
"510","glycerate",1,3,0.746
"511","glycerate",2,1,0.58
"512","glycerate",2,2,0.58
"513","glycerate",2,3,0.58
"514","glycerate",4,1,0.977
"515","glycerate",4,2,0.841
"516","glycerate",4,3,0.857
"517","glycerate",12,1,1.2
"518","glycerate",12,2,1.24
"519","glycerate",12,3,1.16
"520","glycerate",24,1,1.82
"521","glycerate",24,2,1.61
"522","glycerate",24,3,1.23
"523","glycerate",48,1,1.19
"524","glycerate",48,2,1.67
"525","glycerate",48,3,1.28
"526","glycerate",72,1,0.664
"527","glycerate",72,2,0.665
"528","glycerate",72,3,0.735
"529","fumarate",0.5,1,0.8
"530","fumarate",0.5,2,0.825
"531","fumarate",0.5,3,0.815
"532","fumarate",1,1,0.999
"533","fumarate",1,2,1.09
"534","fumarate",1,3,1.04
"535","fumarate",2,1,0.721
"536","fumarate",2,2,0.753
"537","fumarate",2,3,0.743
"538","fumarate",4,1,0.672
"539","fumarate",4,2,0.703
"540","fumarate",4,3,0.717
"541","fumarate",12,1,0.53
"542","fumarate",12,2,0.54
"543","fumarate",12,3,0.541
"544","fumarate",24,1,0.254
"545","fumarate",24,2,0.253
"546","fumarate",24,3,0.215
"547","fumarate",48,1,0.981
"548","fumarate",48,2,0.724
"549","fumarate",48,3,0.893
"550","fumarate",72,1,2.27
"551","fumarate",72,2,2.33
"552","fumarate",72,3,2.29
"553","cadaverine",0.5,1,1.09
"554","cadaverine",0.5,2,1.13
"555","cadaverine",0.5,3,0.964
"556","cadaverine",1,1,0.933
"557","cadaverine",1,2,1.06
"558","cadaverine",1,3,1.06
"559","cadaverine",2,1,1.07
"560","cadaverine",2,2,1.04
"561","cadaverine",2,3,1.01
"562","cadaverine",4,1,0.929
"563","cadaverine",4,2,0.925
"564","cadaverine",4,3,0.916
"565","cadaverine",12,1,0.736
"566","cadaverine",12,2,0.809
"567","cadaverine",12,3,0.809
"568","cadaverine",24,1,0.846
"569","cadaverine",24,2,0.854
"570","cadaverine",24,3,0.875
"571","cadaverine",48,1,1.12
"572","cadaverine",48,2,1.1
"573","cadaverine",48,3,1.03
"574","cadaverine",72,1,0.968
"575","cadaverine",72,2,0.942
"576","cadaverine",72,3,0.954
"577","malate",0.5,1,0.752
"578","malate",0.5,2,0.781
"579","malate",0.5,3,0.769
"580","malate",1,1,0.713
"581","malate",1,2,1.23
"582","malate",1,3,1.16
"583","malate",2,1,0.867
"584","malate",2,2,0.926
"585","malate",2,3,0.857
"586","malate",4,1,0.74
"587","malate",4,2,0.711
"588","malate",4,3,0.719
"589","malate",12,1,0.647
"590","malate",12,2,0.726
"591","malate",12,3,0.642
"592","malate",24,1,1.09
"593","malate",24,2,1.24
"594","malate",24,3,1.71
"595","malate",48,1,0.793
"596","malate",48,2,0.842
"597","malate",48,3,0.862
"598","malate",72,1,2.32
"599","malate",72,2,2.34
"600","malate",72,3,2.33
"601","4-aminobutyrate",0.5,1,0.87
"602","4-aminobutyrate",0.5,2,0.87
"603","4-aminobutyrate",0.5,3,0.87
"604","4-aminobutyrate",1,1,1.31
"605","4-aminobutyrate",1,2,0.949
"606","4-aminobutyrate",1,3,1.24
"607","4-aminobutyrate",2,1,1.21
"608","4-aminobutyrate",2,2,1.21
"609","4-aminobutyrate",2,3,1.21
"610","4-aminobutyrate",4,1,0.92
"611","4-aminobutyrate",4,2,0.82
"612","4-aminobutyrate",4,3,0.832
"613","4-aminobutyrate",12,1,0.84
"614","4-aminobutyrate",12,2,0.722
"615","4-aminobutyrate",12,3,0.753
"616","4-aminobutyrate",24,1,0.9
"617","4-aminobutyrate",24,2,0.99
"618","4-aminobutyrate",24,3,0.969
"619","4-aminobutyrate",48,1,0.96
"620","4-aminobutyrate",48,2,0.882
"621","4-aminobutyrate",48,3,0.888
"622","4-aminobutyrate",72,1,1.8
"623","4-aminobutyrate",72,2,1.69
"624","4-aminobutyrate",72,3,1.66
"625","cysteine",0.5,1,1.02
"626","cysteine",0.5,2,1.05
"627","cysteine",0.5,3,1.05
"628","cysteine",1,1,1.87
"629","cysteine",1,2,1.27
"630","cysteine",1,3,1.6
"631","cysteine",2,1,1.61
"632","cysteine",2,2,1.37
"633","cysteine",2,3,1.47
"634","cysteine",4,1,0.898
"635","cysteine",4,2,0.966
"636","cysteine",4,3,0.861
"637","cysteine",12,1,0.775
"638","cysteine",12,2,0.894
"639","cysteine",12,3,0.607
"640","cysteine",24,1,0.26
"641","cysteine",24,2,0.192
"642","cysteine",24,3,0.296
"643","cysteine",48,1,1.13
"644","cysteine",48,2,0.803
"645","cysteine",48,3,1.85
"646","cysteine",72,1,1.08
"647","cysteine",72,2,0.376
"648","cysteine",72,3,0.248
"649","a-ketoglutarate",0.5,1,0.876
"650","a-ketoglutarate",0.5,2,1.27
"651","a-ketoglutarate",0.5,3,1.02
"652","a-ketoglutarate",1,1,1.18
"653","a-ketoglutarate",1,2,0.982
"654","a-ketoglutarate",1,3,0.96
"655","a-ketoglutarate",2,1,0.917
"656","a-ketoglutarate",2,2,0.785
"657","a-ketoglutarate",2,3,0.892
"658","a-ketoglutarate",4,1,0.747
"659","a-ketoglutarate",4,2,1.61
"660","a-ketoglutarate",4,3,0.884
"661","a-ketoglutarate",12,1,0.618
"662","a-ketoglutarate",12,2,0.763
"663","a-ketoglutarate",12,3,0.875
"664","a-ketoglutarate",24,1,0.417
"665","a-ketoglutarate",24,2,0.507
"666","a-ketoglutarate",24,3,0.486
"667","a-ketoglutarate",48,1,1.73
"668","a-ketoglutarate",48,2,2.42
"669","a-ketoglutarate",48,3,1.45
"670","a-ketoglutarate",72,1,1.82
"671","a-ketoglutarate",72,2,1.83
"672","a-ketoglutarate",72,3,1.83
"673","aconitate",0.5,1,1.72
"674","aconitate",0.5,2,1.6
"675","aconitate",0.5,3,1.51
"676","aconitate",1,1,0.868
"677","aconitate",1,2,0.741
"678","aconitate",1,3,1.05
"679","aconitate",2,1,0.99
"680","aconitate",2,2,0.948
"681","aconitate",2,3,1.01
"682","aconitate",4,1,1.34
"683","aconitate",4,2,1.48
"684","aconitate",4,3,1.36
"685","aconitate",12,1,1.1
"686","aconitate",12,2,0.806
"687","aconitate",12,3,1.13
"688","aconitate",24,1,1.08
"689","aconitate",24,2,0.681
"690","aconitate",24,3,0.685
"691","aconitate",48,1,0.316
"692","aconitate",48,2,0.388
"693","aconitate",48,3,0.408
"694","aconitate",72,1,0.786
"695","aconitate",72,2,0.832
"696","aconitate",72,3,0.769
"697","putrescine",0.5,1,0.603
"698","putrescine",0.5,2,0.603
"699","putrescine",0.5,3,0.63
"700","putrescine",1,1,0.919
"701","putrescine",1,2,1
"702","putrescine",1,3,0.896
"703","putrescine",2,1,0.821
"704","putrescine",2,2,0.829
"705","putrescine",2,3,0.813
"706","putrescine",4,1,0.949
"707","putrescine",4,2,1.1
"708","putrescine",4,3,0.692
"709","putrescine",12,1,0.823
"710","putrescine",12,2,0.901
"711","putrescine",12,3,0.943
"712","putrescine",24,1,0.496
"713","putrescine",24,2,0.494
"714","putrescine",24,3,0.499
"715","putrescine",48,1,0.552
"716","putrescine",48,2,0.961
"717","putrescine",48,3,0.851
"718","putrescine",72,1,0.56
"719","putrescine",72,2,0.544
"720","putrescine",72,3,0.565
"721","ribonate",0.5,1,1
"722","ribonate",0.5,2,1.02
"723","ribonate",0.5,3,0.993
"724","ribonate",1,1,1.02
"725","ribonate",1,2,0.944
"726","ribonate",1,3,0.935
"727","ribonate",2,1,0.907
"728","ribonate",2,2,0.955
"729","ribonate",2,3,0.875
"730","ribonate",4,1,0.822
"731","ribonate",4,2,0.89
"732","ribonate",4,3,0.897
